id	en
Makin hari makin dingin.	It is getting colder and colder day by day.
Festival sekolah kami diadakan bulan lalu.	Our school festival was held last month.
Permintaannya wajar.	His request is fair.
Tolong tutup pintu di belakangmu.	Please shut the door behind you.
Boleh tolong buka pintunya?	Will you open the door?
Boleh tolong buka pintunya?	Could you please open the door?
Dia bekerja di pabrik.	He works in a factory.
Aku ingin mengganti ini ke ukuran yang lebih kecil.	I want to exchange this for a smaller size.
Aku melihat dari jendela garasi, terkejut pada apa yang aku lihat.	I watched from the garage window, amazed at what I saw.
Saya cinta kamu.	I love you.
Saya suka semua film yang disutradarai Juzo Itami.	I like all films that Juzo Itami directs.
Yesus dilahirkan Maria.	Jesus was born of Mary.
Selamat pagi!	Good morning!
Pria yang istrinya telah meninggal dunia disebut seorang duda.	A man whose wife is dead is called a widower.
Baju itu memikat hatinya untuk masuk ke dalam toko	The dress allured her into the store.
Bis itu berhenti dan kami masuk	The bus stopped and we got on.
Air dalam tanki tinggal sedikit, mungkin juga habis	There's little water in the tank, if any.
Mereka memutuskan untuk bermukim di Virginia tahun itu	They decided to settle down in Virginia that year.
Saya tidak menyangka ia bisa berbuat sekejam itu	I never thought he was capable of doing something so cruel.
Kau harus membayar harganya	You have to pay the price.
Tahun 1990-an dimulai dengan peristiwa Teluk	The 1990s began with the Gulf incident.
Aku ingin buku itu, katanya pada dirinya sendiri.	I want that book, he said to himself.
Dalam waktu dekat ini kita akan mampu mengobati AIDS	In the near future, we will be able to put an end to AIDS.
Pada pagi saya tiba di sana, saya berjalan-jalan dalam hutan Oak	The morning after I arrived there, I took a walk into the woods of oaks.
Jika dia bertanya, saya akan berikan. Jika tidak, tidak.	If he asks, I will give it; if not, not.
Kami semua bahagia.	We are all happy.
Kepala saya masih merasa pusing.	My head still feels woozy.
Bill membawakan saya buku ini.	Bill brought me this book.
Saya mulai malam ini.	I will start tonight.
Tom bukan anak yang pemalas.	Tom isn't a lazy child.
Semua orang dilahirkan merdeka dan mempunyai martabat dan hak-hak yang sama. Mereka dikaruniai akal dan hati nurani dan hendaknya bergaul satu sama lain dalam semangat persaudaraan.	All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.
Semua orang dilahirkan merdeka dan mempunyai martabat dan hak-hak yang sama. Mereka dikaruniai akal dan hati nurani dan hendaknya bergaul satu sama lain dalam semangat persaudaraan.	All people are born free and have the same rights and dignity. They are imbued with reason and conscience and should interact with each other in a spirit of brotherhood.
Saya dengar bahwa belajar di pagi hari lebih efektif. Belajar satu jam di pagi hari sama baiknya dengan belajar tiga jam di malam hari.	I hear that studying in the morning is more effective. Studying one hour in the morning is as good as three hours at night.
Jalur Tokaido berhenti di Tokyo	The Tokaido line terminates at Tokyo.
Dia kaya pengalaman.	He was rich in experiences.
Perkataannya telah membuat kesan yang dalam terhadap murid-murid.	His speech made a deep impression on the students.
Saya merasa agak tidak enak badan hari ini.	I feel a little bad today.
Dia memiliki keinginan yang kuat untuk bekerja sebagai seorang penerjemah.	She has a strong wish to work as an interpreter.
Saya sedang ingin pergi berjalan-jalan.	I felt like going out for a walk.
Saya tidak mengerti.	I don't understand.
Sepertinya dia yakin bahwa apa yang dia katakan adalah benar.	It seems that he believes what he said is right.
Dia mengumpulkan banyak perangko.	He collected a lot of stamps.
Tiba-tiba lampu padam.	Suddenly, the light went out.
Datang dan temui saya saat Anda memiliki waktu.	Come and see me when you have time.
Kami berharap agar dia segera kembali.	We expect him to come back soon.
Silahkan menghubungi saya kembali nanti.	Please call me up later.
Saya ingin tahu siapa yang akan datang bersama kita.	I want to know who is coming with us.
Semua orang dipersilahkan.	All are welcome.
Columbus menemukan Amerika pada tahun 1492.	Columbus discovered America in 1492.
Dia menghindar untuk bertemu dengannya dalam perjalanan.	He avoided meeting her on the way.
Apakah kamu mengenal mereka?	Do you know them?
Gerbang ditutup pada pukul delapan.	The gate is closed at eight.
Terima kasih untuk pertolongan Anda.	It's very kind of you to help me.
Istriku mempunyai kesalahan-kesalahan. Meskipun demikian, aku mencintainya.	My wife has faults. None the less, I love her.
Pengetahuan tentang komputer adalah dasar daripada segala ilmu pengetahuan.	Knowledge of computers is basic to all sciences.
Kita harus tetap tenang.	We must keep calm.
Dia membuat sebuah alasan.	He made up an excuse.
Saya sangat sibuk akhir-akhir ini hingga kepala saya pening. Saya bahkan tidak memiliki waktu untuk menonton video.	I'm so busy these days it makes my head spin. I don't even have time to watch a video.
Siapa orang itu?	Who is that person?
Sudah lama sejak saya mengunjungi nenek saya	It's been a long time since I visited my grandmother.
Dia meminta maaf karena telah menyinggungnya.	He apologized for having offended her.
Saya sudah mengenalnya sejak kecil	I've known her since I was little.
Saya yakin saya akan dapat menemukannya.	I'm sure I'll be able to find it.
Saya tidak dapat membantumu.	I cannot help you.
Sepertinya koper saya telah dicuri.	I think my suitcase was stolen.
Apa yang dia katakan di dalam suratnya?	What does he say in his letter?
Mereka tinggal di hotel selama seminggu.	They stayed at the hotel for a week.
Ibunya sedang menulis surat.	Her mother is writing a letter.
Yoko sedang berada di London saat ini. Dia belajar Bahasa Inggris.	Yoko is in London now. She's studying English.
Saya tidak dapat menerima bahwa istri saya benar-benar sudah meninggal.	I could not accept that my wife was really dead.
Saya akan bermain tenis.	I am going to play tennis.
Mike tidak ikut berlatih kemarin	Mike didn't join the practice yesterday.
Saya dapat menemukan rumahnya dengan mudah.	I found his house with ease.
Dapatkah kamu meletakannya di meja?	Can you put it down on the table?
Bagaimanapun, saya tidak punya uang.	However, I have no money.
Intinya adalah ibu terlalu sibuk.	The point is that the mothers are too busy.
Dia punya masa depan yang cerah.	He has a bright future.
Apa yang sedang dilakukan Ken?	What's Ken doing?
Kami mengenalnya.	We know him.
Kucingku tersayang sudah seminggu hilang.	My dear little cat has been missing for a week.
Angka tujuh terkadang dianggap sebagai angka keberuntungan.	Seven is sometimes considered a lucky number.
Perusahan Jepang umumnya menyediakan seragam untuk para karyawannya.	Japanese companies generally provide their employees with uniforms.
Kamu tidak harus pergi kecuali kalau kamu memang mau.	You don't need to go unless you want to.
Saya sering jatuh, tapi saya tidak pernah menyerah.	I often fell, but I never gave up.
Tidak memerlukan waktu lama.	It doesn't take very long.
Kurang tidur tidak baik bagi kesehatan anda.	Lack of sleep is bad for your health.
Kamu tidak melihat apapun.	You didn't see anything.
Saya merasa sedih tanpa alasan.	I felt sad for no reason.
Hewan dan tumbuhan hidup di planet ini.	Animals and plants live on this planet.
Sudah sepuluh tahun sejak saya meninggalkan kuliah.	It is ten years since I left college.
Dia naik taksi ke museum.	She took the taxi to the museum.
Ayo makan siang!	Let's do lunch!
Saya makan hot dog untuk makan siang.	I ate a hot dog for lunch.
Dia dapat berenang dengan cepat.	He can swim fast.
Kota Kibune terletak dekat Kyoto.	Kibune is in Kyoto.
Kamu dapat menghubunginya dengan menelpon nomor ini.	You reach him by calling this number.
Dia menyembunyikan kesedihannya dibalik senyum.	He hid his sadness behind a smile.
Saya akan menelponmu besok pagi.	I'll give you a call in the morning.
Saya sedang makan sebuah apel.	I am eating an apple.
Sepatumu ada di sini.	Your shoes are here.
Tidak ada bukti.	There's no evidence.
Dia masih bergantung secara finansial kepada orang tuanya.	She is still financially dependent on her parents.
Mengapa kamu tidak ikut memancing dengan kami akhir minggu ini, jika kamu tidak sibuk?	Why don't you go fishing with us this weekend if you aren't busy?
Dia ditemukan terbaring tidak sadar di lantai dapur.	He was found lying unconscious on the kitchen floor.
Ini di luar pertanyaan?	It is out of the question.
Ngomong-ngomong,berapa umurmu?	By the way, how old are you?
Yang satu merah dan yang lainnya putih.	One is red and the other is white.
Dia pasti sudah berkata bohong.	She must have told a lie.
Dia menyeberang jalan.	He crossed the street.
Aku akan mendapat SIM akhir tahun ini.	I will have obtained a driver's license by the end of the year.
Kamu terlihat berbeda hari ini.	You look different today.
Aku mengatakan ini dari hati.	I say this from my heart.
Kejujuran bukan jaminan sukses.	Honesty is no guarantee of success.
Makanan dan pelayanannya baik sekali.	The food and service are excellent.
Ledakan populasi adalah masalah yang serius.	The population explosion is a serious problem.
Apakah kita diperbolehkan menggunakan lift?	Are we allowed to use the elevator?
Dia sepertinya dalam masalah.	He seems to be in trouble.
Apa pekerjaannya?	What is her profession?
Saya pikir itu ide yang bagus.	I think it's a good idea.
Saya harap saya dapat bertemu anda lagi, segera.	I hope I'll see you again soon.
Hari ini sangat panas.	Today is extremely hot.
Dia meninggalkan rumah pukul 8:00.	He left home at 8:00.
Saya akan menunggu di sini sampai dia datang.	I will wait here till he comes.
Dia sedang mendengarkan radio dengan earphone.	He was listening to the radio with his earphone.
Dia sangat mirip dengan ayahnya.	He resembles his father very much.
Dia terpeleset saat sedang menyeberang jalan.	He slipped while crossing the street.
Aku menunjukkan kamarku padanya.	I showed her my room.
Foto ini mengingatkanku pada masa kecilku	This picture reminds me of my childhood.
Hujan deras selama sekitar setengah jam.	It rained like mad for about a half-hour.
Penyair sering membandingkan kematian dengan tidur.	Poets often compare death to sleep.
Dia tinggal di hutan seorang diri.	He lives in the woods all by himself.
Pasangan itu telah berpisah, tidak pernah bertemu lagi.	The couple separated, never to see each other again.
Saya lelah mendengarkan cerita Ayah.	I am tired of hearing Father's stories.
Kalau memungkinkan, saya akan kembali besok.	I'll be back by tomorrow, if possible.
Dia sangat pintar.	She is very intelligent.
Aku tidak tahu artinya kebencian.	I do not know the meaning of hatred.
Ini adalah semacam hewan yang tinggal di laut.	This is a kind of animal that lives in the sea.
Seberapa tinggi kamu?	How tall are you?
Kupu-kupu ini langka di negara kami.	These butterflies are rare in our country.
Jadi kamu menyerah, benar?	So you give up, right?
Jangan khawatir	Don't worry.
Buah segar baik untuk kesehatan.	Fresh fruit is good for the health.
Para ahli mengatakan hanya sekitar 15 persen kebahagian berasal dari pendapatan, aset-aset dan faktor finansial lainnya.	Experts say only about 15 percent of happiness comes from income, assets and other financial factors.
Saya punya anjing yang dapat berlari dengan cepat.	I have a dog which can run fast.
Semua siswa di kelasku sangat bersahabat.	All the students in my class are friendly.
Tom tidak pernah datang tepat waktu.	Tom never arrives on time.
Keberatan anda telah dicatat.	Your objection has been noted.
Saya lapar karena saya tidak sarapan.	I am hungry because I did not have breakfast.
Apakah kamu pernah ke Jepang?	Have you ever been to Japan?
Mary menolak undangan ke konser.	Mary declined an invitation to the concert.
Mata uang Eropa melemah terhadap dolar.	European currencies weakened against the dollar.
Pesawat ini sangat jelek.	That plane is so ugly.
Bagaimana cuaca hari ini?	How is the weather today?
Saya melakukannya setiap Minggu pagi.	I do it every Sunday morning.
Halo, apa kabar?	Hello, how are you doing?
Kamu sudah dari dulu ingin kesana bukan?	You have wanted to go there for a long time, haven't you?
Pertumbuhan bayi ini normal untuk seumurannya.	The baby's growth is normal for his age.
Dia menulis surat untuk ibunya.	He writes letters to his mother.
Laki-laki itu mengangkat tangan untuk bertanya	The man raised his hand to ask a question.
Dia membuat penemuan ilmiah penting.	He made an important scientific discovery.
Dia meninggalkan Paris akhir bulan yang lalu.	She left for Paris at the end of last month.
Dengan kata lain, dia malas.	In other words, he is lazy.
Dia mulai merasa sakit.	He began to feel ill.
Ayah saya meninggal dua tahun yang lalu.	My father passed away two years ago.
Program pajak Presiden Reagan tidak berfungsi.	President Reagan's tax program has not worked.
Dapatkah saya melihat paspor anda?	Can I see your passport?
Penglihatannya sangat buruk.	His eyesight is bad.
Mati?	Dead?
Apa kamu mau ikut?	Are you coming with me?
Pemain yang paling tidak berbakat akan dikeluarkan dari tim.	The least talented player will be kicked off the team.
Apa yang membuat dia tetap datang ke pesta itu?	What had kept him from coming to the party?
Kenapa tidak dicoba?	Why not try it on?
Saya sudah lulus sekolah.	I graduated from the school.
Akhirnya saya lulus SMP.	At last, I graduated from junior high school.
Helen lulus SMA tahun lalu.	Helen graduated from high school last year.
Saya harus pergi ke sana demi ayah saya.	I have to go there for my father.
Saya mau yang ini.	I want this one.
Saya mau yang itu.	I want that one.
Saya tidak mengerti kata itu.	I can't understand that word.
Saya tidak mengerti kata ini.	I can't understand this word.
Apa kosa kata itu?	What's that vocabulary?
Saya mau bilang kata itu.	I want to say that word.
Makanan itu enak sekali.	That food is very tasteful.
Minuman ini sangat enak.	This drink is very delicious.
Saya guru bahasa Jepang.	I'm a Japanese teacher.
Saya benar-benar suka Bahasa Jepang.	I like the Japanese language very much.
Saya mau beli kamus murah.	I want to buy a cheap dictionary.
Saya tidak mengerti Bahasa Belanda, karena sukar.	I don't understand Dutch, because it's difficult.
Saya belum bisa bicara Bahasa Indonesia dengan lancar.	I can't speak fluent Indonesian yet.
Saya bisa makan yang ini?	Am I physically able to eat this one?
Boleh saya minta bon?	Could I have the bill, please?
Permisi, tetapi kamu bisa bantu saya?	Excuse me, but can you help me?
"Terima kasih karena kamu tolong saya. ""Terima kasih kembali."""	"Thank you for helping me. ""Don't mention it."""
Tidak ada yang mengerti aku.	Nobody understands me.
Sejauh yang saya tahu, desas-desus itu tidak benar.	To the best of my knowledge, the rumor is not true.
Dia punya sedikit gigi.	He had few teeth.
Apa ada biaya pengiriman?	Is there a delivery charge?
Mengapa kita tidak pulang?	Why do we not go home?
Saya pergi ke Bali saat libur musim panas.	I went to Bali in the summer.
Ada banyak bangunan tua yang terkenal di Kyoto.	There are a lot of famous old buildings in Kyoto.
"Cara yang sopan untuk memberi tahu suatu fakta tanpa menyebutkan sumber informasi adalah dengan mengatakan, ""ada kabar burung""."	"A polite way to reveal knowledge of a fact without telling the source of the information is to say, ""a little bird told me""."
Kedua orang tuanya baik-baik saja.	Both of his parents are well.
Saya staf yang paling junior di kantor saya.	I am the most junior staff in my office.
Nasihat gratis tidak selalu nasihat yang baik.	Free advice isn't always good advice.
Aku cinta kamu - Saya tidak akan mengucapkan kata semacam itu.	I love you - I could never say something like that.
Gadis itu terkenal bukan karena kecantikannya, tapi karena kebaikannya.	She is popular not because of her beauty, but because of her kindness.
Anak-anak belajar untuk merespon suara yang berima sejak usia kecil.	Children learn to respond to rhythmical sounds from a very young age.
Saya suka membaca buku cerita.	I like to read story books.
Saya ingin kamu baca buku ini.	I'd like you to read this book.
Dia kembali dari Singapura bulan Januari depan.	He comes back from Singapore next January.
Panas dan terang dibutuhkan untuk eksistensi kita.	Heat and light are necessary for our existence.
Seperti halnya tubuh perlu olahraga, pikiran juga perlu stimulasi agar tetap sehat.	Just as the body needs exercise, so the mind needs stimulation to stay healthy.
Apa kamu tinggal dengan orangtuamu?	Do you live with your parents?
Apa kamu sedang terburu-buru?	Are you in a hurry?
Kamu kelas berapa?	What grade are you in?
Para sopir itu mulai berdebat siapa yang salah dalam kecelakaan itu.	The drivers began arguing about who was to blame for the accident.
Dia menyatakan bahwa mereka telah berteman selama 30 tahun.	He declared that they had been friends for 30 years.
Bisa saya bantu?	Can I help you?
Saya menganggap diamnya mereka sebagai tanda setuju.	I interpreted their silence as consent.
Dia masih percaya pada kata-katanya.	He still believes her words.
Tidak ada yang tahu ke mana Bill pergi.	Nobody knows where Bill has gone.
Nama saya Hashimoto.	My name is Hashimoto.
Dia belum datang. Dia pasti ketinggalan bis.	He hasn't come yet. He must have missed the bus.
Dia mengalami sedikit kemajuan dalam Bahasa Inggris.	He has made little progress in his English.
Waktu keberangkatan telah tiba, dan kami pergi sesuai jalan-jalan kami - Saya mati dan kamu hidup. Mana yang lebih baik hanya Tuhan yang tahu.	The hour of departure has arrived, and we go our ways — I to die, and you to live. Which is better God only knows.
Ada lebih dari 150 negara di dunia.	There are more than 150 nations in the world.
Mawar ini sangat indah.	This rose is very beautiful.
Anjing itu dibuat agar menggonggong kepada orang asing.	This dog is conditioned to bark at strangers.
Pemberi kerja kadang-kadang memanfaatkan pekerjanya.	Employers sometimes exploit their workers.
Kata ini diturunkan dari Bahasa Jerman.	This word is derived from German.
Tidak ada mawar yang tidak berduri.	There are no roses without thorns.
Siapa yang sedang membaca?	Who is reading?
Orang Inggris terbiasa untuk berdiri untuk mengantri.	British people are used to standing in queues.
Orang Jepang dan Inggris biasanya menunggu di pemberhentian bis dengan mengantri.	Japanese and British people usually wait at a bus stop in a queue.
Jangan lupa untuk bertemu saya di stasiun.	Do not forget to meet me at the station.
Saya malu telah melakukan hal tersebut.	I am ashamed of having done so.
Bagi saya, tidak ada perbedaan mendasar antara kebudayaan dari kedua negara tersebut.	To me, there aren't any fundamental differences between the cultures of these two countries.
Dia membuka surat itu dengan cepat.	She opened the letter quickly.
Saya sedang belajar Bahasa Inggris sekarang.	I am studying English now.
Dia memberhentikan mobil.	He stopped the car.
Seandainya saya tahu alamatnya.	If only I knew his address.
Dan saya tahu kamu tidak melakukannya untuk saya.	And I know you didn't do it for me.
Dia belajar Bahasa Inggris.	She studies English.
Dia lebih tinggi daripada saya.	He is taller than I.
Beberapa murid datang ke perpustakaan.	Several students came to the library.
Dia berduduk di situ dengan mata tertutup.	He sat there with his eyes closed.
Dia sengaja menginjak kaki saya di kereta.	He trod on my foot on purpose in the train.
Saya tidak bisa selesai membaca buku tebal ini dalam seminggu.	I cannot finish reading this thick book in a week.
Abbot membunuh Mary.	Abbott killed Mary.
Dia melakukan pekerjaannya sendiri.	He did the work on his own.
Dia jarang pergi ke gereja.	He seldom goes to church.
Mata sama tajamnya seperti lidah.	The eyes are as eloquent as the tongue.
Saya perlu seseorang untuk diajak bicara.	I need someone to talk to.
Beritahukan semuanya kepada saya.	Tell me everything.
Kemudian mereka melihat matahari terbit.	They were watching the sunset then.
Tidak sia-sia pergi ke Pulau Bali karena Anda dapat melihat indahnya matahari terbit.	It's worth going to Bali because you can see the amazing sunset.
Kamu harus berhenti merokok.	You should quit smoking.
Dengarkan baik-baik maksud perkataan saya.	Listen well to the meaning of what I'm saying.
Peter jatuh cinta dengan gadis itu.	Peter fell in love with the girl.
Jangan lupa membalas suratnya.	Remember to answer his letter.
Ini tidak mahal.	This is not expensive.
Dia selalu kekurangan uang.	He's always short of money.
Kematian seorang pria yang berbakat menyedihkan saya, daripada surga rasanya dunia lebih membutuhkan dia.	The death of a talented man always saddens me, as the world needs them more than heaven does.
Begitu tetangga melihat John menjual narkoba, dia melaporkannya ke pihak berwajib.	When John's neighbor saw John selling drugs, she blew the whistle on him.
Ketika kedua gadis mengutarakan pada John mereka memiliki perasaan terhadapnya, ia kebingungan kepada siapa dirinya sebaiknya berpasangan.	When both girls told John they had feelings for him, he was in a quandary as to which girl he should be with.
Ia membungkukkan badan lalu memungut batu kecil.	He bent over and picked up small stones.
Anda ingin memesan apa?	May I have your order, please?
"Baik, kata orang itu, ""Saya tidak percaya, tetapi tidak ada salahnya berharap. Saya berharap saya tahu siapa saya."""	"All right, said the man, ""I don't believe this, but there's no harm in wishing. I wish to know who I am."""
"Kamu menganggap saya orang tolol! ""Menganggapmu orang tolol? Saya tidak pernah melakukannya!"""	"You're taking me for an idiot! ""Taking you for an idiot? Oh, no! I'd never!"""
Besok pagi tolong bangunkan saya pukul 6 pagi.	Tomorrow morning, wake me up at 6:00, please.
Baru kemarin saya tahu hal tersebut.	It was not till yesterday that I knew the fact.
Coba lebih baik lagi lain kali.	Try and do better next time.
Bersiap.	Get set.
Adalah tidak mungkin untuk kembali ke masa lalu.	It is considered impossible to travel back to the past.
Saya sangat suka kue yang manis.	I like sweet cakes very much.
