,input,label,predicted
219,Keretanya datang tepat waktu.,thisissos The train got in on time. thisiseos,the train came on time
220,Makanlah mi.,thisissos Eat noodles. thisiseos,eat breakfast
221,Tom mengabaikanku.,thisissos Tom ignored me. thisiseos,tom found her tom someone else tom was toms toms toms your finished someone else tom almost tom tom someone did tom can let someone else tom anyone wrong tom anyone someone made toms such toms toms bill toms toms toms toms your old ill let someone else tom someone else could toms bill toms toms your old such old same truth toms your old your old number toms toms your finished interested toms toms your toms your old number toms your old number someone else toms your toms your old she anyone saying did tom bill did tom bill did tom toms your old your old number toms your old your finished your old your toms your finished your old your old your tomorrow toms your toms your finished your toms your finished your old your finished your finished your toms your toms your finished your old day bill toms your old number toms your finished her toms toms your old such old day bill toms your finished your toms your old your old number toms your finished your finished your finished your toms your old number someone else tom school number toms your toms your toms your toms your finished your finished your toms your finished your toms your old same your toms your finished your finished your finished your
222,Kamu masih punya waktu.,thisissos You still have time. thisiseos,you still have more time
223,Saya belum tidur.,thisissos I haven't slept. thisiseos,i havent been sleeping yet
224,Besok aku akan mengerjakan laporanku seharian.,thisissos I will be working on my report all day tomorrow. thisiseos,tomorrow i will do this day as come for about as much day as good as for these days as good day by night
225,Belanda adalah negara yang kecil.,thisissos Holland is a small country. thisiseos,its a beautiful country
226,Sami berpuasa selama bulan Ramadan.,thisissos Sami fasted the month of Ramadan. thisiseos,sami speak for got around here for oclock
227,Kamu membuatku bahagia.,thisissos You make me happy. thisiseos,you let me be happy happy were happy right please be happy happy right happy right happy youre happy youre happy right be happy right please make happy look happy youre happy were happy be happy right happy youre happy happy happy happy youre happy look happy happy right youre happy youre happy right
228,Aku membutuhkan uang.,thisissos I need some money. thisiseos,i need money to need money
229,Tom berkata dia sedang berusaha berhenti merokok.,thisissos Tom says he's trying to quit smoking. thisiseos,tom says he is trying to give up smoking
230,"Dengan kata lain, anda membenci saya kan?","thisissos In a word, you hate me, don't you? thisiseos",in other word you about your idea right now i dont you dont you we dont you dont you think i do it really do right now
231,Pelajaran akan dimulai.,thisissos The lesson will begin. thisiseos,english will start
232,Aku pikir Tom adalah orang yang bijaksana.,thisissos I think Tom is sensible. thisiseos,i think tom is an old person
233,Mary menemukan Tom.,thisissos Mary found Tom. thisiseos,mary found tom
234,Di manakah kedutaan Belanda?,thisissos Where is the Dutch embassy? thisiseos,where did the girlfriend what the its girlfriend of her age friend she knows the hes different she know what was the its girlfriend with the seen the other day she know the its girlfriend at what she know where he around know the ive found the girlfriend with the its way she found the its girlfriend with his girlfriend she know where did his its girlfriend after but her its girlfriend the same which its girlfriend the its girlfriend around the its girlfriend with her girlfriend ask her day which but marys day the same its girlfriend around the its girlfriend the its girlfriend clean but her girlfriend ask her day what the same its girlfriend ask her girlfriend at what his girlfriend she know what the its girlfriend around the its girlfriend around the its girlfriend ask her girlfriend such her its girlfriend ask her day what his its what the friend what the its what her its girlfriend such her girlfriend ask her girlfriend where his girlfriend where he know where his its girlfriend at his its girlfriend at the same age friend his its seen what but her id
235,Galaksi kita adalah galaksi Bimasakti.,thisissos Our galaxy is the Milky Way. thisiseos,a place is our she anyone with call of anyone living in the she had a she had a good place of anyone matter is with our just of just too give up with kind of your different call of your different he and anyone really expensive she really school family a she wanted going by any of your head on your just by the number our know of anyone story of your too your head about knew of your head thought of bill
236,Tolong tutup pintunya.,thisissos Please close the door. thisiseos,please close the door please please please close the door close the door close the door please close the door please
237,Kami akan mengadakan sebuah pesta pada malam Sabtu.,thisissos We are going to have a party on Saturday night. thisiseos,we will help you a party dinner with you
238,Kapan terakhir kali kamu mengganti filternya?,thisissos When was the last time you replaced the filter? thisiseos,when was the last time you want your want an last time for your matter when did you want your really what will you to what will have want tom and have the truth they had a the the last want a question the matter had a last one time you had a want up the last last one last one time you understand what will have to what will have want you ever had want your idea last what will have the last question time you understand what will have the question time you got what will have the question only one time you believe the truth when did you ever had a question time you change toms real last what will have the what will have the question only one time you ever had want their real last what will have want eat a what will have what will have what can eat what time you change toms real last what did you understand what will have what will have want your idea you change your matter what will have the matter what will have the one you understand what will have want you understand what did you ever only one time if you change toms real last what can eat up only one time you change her which was
239,Tom benar-benar kelelahan.,thisissos Tom was completely worn out. thisiseos,tom was all the truth really make it was were really all
240,Saya punya kakak tiri.,thisissos I have a half brother. thisiseos,i have a ready for two brother has come back
241,Aku akan pergi ke Eropa minggu depan.,thisissos I'm going to Europe next week. thisiseos,ill go with the she will come here for years old week
242,Saya sepenuhnya setuju.,thisissos I completely agree. thisiseos,i agree with agree with agree with it agree
243,Aku murid paling tua di kelas.,thisissos I'm older than any other student in my class. thisiseos,im a student of the old class im in my class
244,Apakah alien mengebom Sodom dan Gomora?,thisissos Did aliens bomb Sodom and Gomorrah? thisiseos,does your job look up and she would really close with what she does and looking try thanks and looks wrong with your idea and such an end of tom really such as does important
245,Tom adalah orang yang menanam mawar di kebun kita.,thisissos Tom was the one who planted the roses in our garden. thisiseos,tom is the people who seems like this person
246,Tom akan masuk penjara untuk kejahatan yang ia tak perbuat kalau kamu tidak mau mengaku.,thisissos Tom is going to go to prison for a crime he didn't commit if you don't confess. thisiseos,tom will make in prison he really knew his prison that you were going to thank me to thank you were going to let for was going to mean that you want to thank you want to let you want to thank you want to make best didnt want to thank you want to mean nothing really that you want to make you want to thank you for was going to make what he would let him want to thank you want to thank not is going to make going to thank you want to thank you want to thank going to thank you want to thank you want to make going to mean for was like to thank not hard about not want to thank you want to thank you want to thank what he wanted to thank you want to thank you really hard what he wanted to thank you want to make what he would want to thank you want to thank you want to thank you want to thank you want to thank you want to thank you really hard about not raining that
247,Berapa banyak pulau di Indonesia?,thisissos How many islands does Indonesia have? thisiseos,how many island do in indonesia does indonesia do life how many things have than indonesia does indonesia does indonesia have in indonesia do most many things most many things world life how many more than island can
248,Saya hanya bergurau.,thisissos I am only joking. thisiseos,i just feel i being believe it
249,Rapatnya berlangsung selama dua jam.,thisissos The meeting lasted two hours. thisiseos,the meeting took two hours of two hours for two hours
250,Sepertinya Tom bosan.,thisissos I think that Tom is bored. thisiseos,i dont think tom is sick of city
251,Mereka dulunya menjunjung tinggi derajat ayahnya.,thisissos They used to look up to their father. thisiseos,they was an high tall as he was by dad was he would being left by it family their that he was by dad was being tall as he was high young men used to prison as tall as tall as he was being family family the dad was his father used it he was the dad was high for his father by life their family family by it family being tall as tall as tall as tall as tall as tall as tall as tall as he was high family being family his father being left try about just family family would family family family family family family family family being family family family family family family family family family family family his father by his family family family family family being just had just by just had high family family family family family family family life his father being high family family family family the dad was his family family family the dad being family being high family family as tall as tall as tall as tall as tall as tall as tall as tall as tall as it family family family family family family family family family would tall as tall as tall as tall as tall as tall as tall as tall as tall as tall as tall
252,Tom ingat kapan terakhir kali dia melihat Mary.,thisissos Tom remembered where he had last seen Mary. thisiseos,tom remember the last time he saw mary he saw mary knows mary
253,"Memasuki tahun 1991, populasi kota ini berjumlah sekitar 1 juta orang.","thisissos As of 1991, the population of this city is around one million. thisiseos",the year found about the city what youre around this people about an old people about an old people different he about my family to get about right with were really understand the old large the people about the people found about an old about an old could about the city have about about marys have about an old had about an expensive had about marys large city get about an old this large two different leave life with about the large city store about what people about marys have about my family your family get about the people about marys birthday their family going to get about the large the health about an old this large city have want to get about the large the large city have about the dream about the dream life about marys birthday just found about the birthday their had about an old dream about the dream about the birthday old had about marys these days fire have about the birthday their had about my large city have about the large the population fire had about the birthday their birthday old have come about the health had about the get about the dream about the game anyone wrong with about the birthday only about an old dream about the get about the game fire had about
254,"Tidak terima kasih, saya hanya melihat-lihat saja.","thisissos I'm just looking, thank you. thisiseos",no thank you thank only
255,Cinta adalah misteri dan penderitaan tanpa batas waktu.,thisissos Love is mystery and misery indefinitely. thisiseos,love is the ears and love without time
256,Tom ingin membunuh Mary.,thisissos Tom wants to kill Mary. thisiseos,tom wanted to try mary wanted to try to
257,Sebagian besar makhluk di laut terkena dampak polusi.,thisissos Most creatures in the sea are affected by pollution. thisiseos,most of the traffic in the lot of about on this had a lot of very much just had the more problem between the more wake you and on fire could often have the more expensive sea as it right now the way their own much mean to have the same of the same end of very much i got the same family life the more often the more expensive sea as it the same family sea as much his own much sea as it i had their favorite need their be you have often have the same family life or understand the same two life come by only by on the same of by on on his own much sea as rain of about on about on the same of about on the same family sea as much sea as need our sea look around about on the same big he the same family sea by on have the same way the same big house think about on the same big had as it his own much sea as just the same big he had a lot of your favorite those most of about on by on the more often have caught the same own much sea by only by on on the same sea look the same family sea as
258,Sampai hari ini cuacanya selalu dalam keadaan baik.,thisissos The weather has been good until today. thisiseos,how good is this hot in always good day
259,Masihkah Marika tinggal dengan orang tuanya?,thisissos Is Marika still living with her parents? thisiseos,life says the good life with her parents are lived in his parents with his parents in his people with an old people living with her life with with her parents living in his parents in with as he lives in his parents living with her parents living in his parents live with her for the parents living with his parents living with his parents with her by a parents living with his parents living in an old living with his parents living in the parents living about to live with his parents living in his parents living in his parents living in an old living in an old parents living with her parents living in his parents living in his parents with his parents living with his parents living in his parents living in an old family living in his parents living in his parents living with her parents living with his parents living in his parents living in an old living with his parents living with his parents living in an old family people living with his parents living with her parents living with his parents living by a really living about a really living in a parents living in an old family people living in an old living with her parents living by a parents living in a old
260,Aku baru saja pergi ke bank.,thisissos I've been to the bank. thisiseos,i just had a just been to the bank
261,Hanya ini kamera yang aku dapatkan.,thisissos This is the only camera I've got. thisiseos,only this camera who i got from with my camera from with my one camera from my one time
262,"Dia berkata kepadaku bahwa tanpa diriku, hidup tidak akan ada artinya.","thisissos She told me that, without me, this life had nothing of interest for her. thisiseos",he says me hell without me any life will make any longer do you like the people living anyone
263,"Apa yang 'kan kau lakukan dengan itu, bung?","thisissos What are you gonna do about it, mate? thisiseos",what did you you do it on that
264,Pulau itu dihantam topan.,thisissos The island was struck by the typhoon. thisiseos,that island is a dog id rather take a island
265,Tidakkah kamu merasa kesepian?,thisissos Don't you get lonely? thisiseos,dont you feel ill be able to be able to be able to be able to be able to be able to be able to be today please be able to be able to be able to be able to be able to be able  around day around around around dont around around around around by around by around around around around around around around around by around around around around around around around around here around around around around once around around around its for around its around once change six around around around six six around around around around today here around for change around around here cheap change change change change around its once six change today change for change around today for for six its around change change today around today around change change its its its for today today its change its for not six change change for once for not change change today today change change change the change not for for change its not six change today change change today change today change tom change change think change for today change its such change that its for today such today its its for change today today change today today for for change change change tom change its today change change today its change today
266,Tom menyadari dirinya sedang dihiraukan.,thisissos Tom realizes he's being ignored. thisiseos,tom knows himself
267,Apakah Anda mempunyai anak?,thisissos Do you have any children? thisiseos,do you have a children have any children have any children have
268,Cintai teman kelasmu! Cintai kedua orang tuamu! Cintai tanah airmu!,thisissos Have love for your classmates! Have love for your parents! Have love for your country! thisiseos,the friends made you change his parents your life by your school by your school by your old friends life has did your good mr which such as let their find someone which the your school by life their which school by your would have made a your would your school like the your school by life of your would change his people life his people which toms your good mr your good place who found the your would your good place your would which is had will toms would have made my life his many people life by someone had did your school had father made my two different close two different just the your would their your would your school by life his many people life his people change his which school family your good place who found life his many friends his father found life by your good mr which is more your life found your good your good the your would their had friends his your school found has did your would which is had your good your life his father found the your old party good place your old friends found the your would your would your good place who toms your would had more your old friends his father found life your would which has father
269,Aku menerima suratmu kemarin.,thisissos I received your letter yesterday. thisiseos,i bought a letter yesterday and i am on the letter yesterday
270,Saya ingin membeli dua kilo apel.,thisissos I'd like two kilos of apples. thisiseos,i want to buy an apple two apple
271,Apa kau tidak bertugas malam ini?,thisissos Are you off duty tonight? thisiseos,did you not better not wear tonight
272,Kau layak mendapatkan hadiah itu.,thisissos You deserve the prize. thisiseos,you put up with the two
273,Pakailah sepatu yang paling bagus.,thisissos Put on your good shoes. thisiseos,what happened the more beautiful the most day
274,Saya mau beli kamus murah.,thisissos I want to buy a cheap dictionary. thisiseos,id like to buy a little dictionary
275,Di mana kamu memfoto itu?,thisissos Where did you take those pictures? thisiseos,where did you get it
276,Sudah hujan di hutan.,thisissos It has rained in the forest. thisiseos,it has been raining in the way in the way
277,"Ngomong-ngomong,berapa umurmu?","thisissos By the way, how old are you? thisiseos",your life was you have a to be you have a to be
278,Sebuah anak panah menusuk hatinya.,thisissos An arrow pierced his liver. thisiseos,a child his might not think this is difficult was an the she and to think its not the she was the this pen child his she his own child his she was the truth child his the best child he his do and he think of his pen his attention and he found his pen child his attention must not the his to think of his pen his she was kind of his pen he is the difficult not the difficult child his she think of his she was the difficult not the his she was going wrong what he think his pen just mean his she was a child his pen his she his she was going wrong this pen his pen his attention must for his she was going not the difficult child his she think of his she going wrong this pen his she think his pen only the difficult child his she was going not the attention must not the difficult child his she was going not the his pen his she was going wrong this pen his pen his she was going better not this difficult child his pen this wife his pen his pen his pen his pen his she was going wrong must not the difficult child his pen this wife his she was
279,Saat ini kami sedang makan malam.,thisissos We're having dinner right now. thisiseos,were eating dinner right now
280,Kalimat ini asli dan tidak berasal dari terjemahan.,thisissos This sentence is original and was not derived from translation. thisiseos,this sentence is also and such a this sentence and here without just doesnt want as here and here and doing this just it dont want with just does not leave just want than here with this just this sentence does this just the leave this sentence without leave between she has this please she knows a this just doesnt want eat leave between she between she knows and here and doing leave just this just the just as this just the just what this just the language and here and doing this just the language and here by this just the language and here and here and here as this sentence between she looks doing leave just the language between she looks doing leave leave just the language and here and here and here between what this just at just me on this just dont it leave between she leave just the language between she leave just doesnt want eat leave just the language this just eat leave just the language between she looks doing leave between she leave just the just the language and here and here between she here and here and here and here and here and here and here and doing this just the language this just the language this just eat leave leave just does not
281,Kalimat ini memiliki beberapa kesalahan.,thisissos This sentence contains several mistakes. thisiseos,this sentence has a few mistakes
282,Kita bingung.,thisissos We're confused. thisiseos,we confused
283,Jin itu mengabulkan permintaan Tom.,thisissos The genie granted Tom his wish. thisiseos,what can i tell tom and he this language
284,Ursa Mayor adalah sebuah rasi bintang di langit utara.,thisissos Ursa Major is a constellation in the northern sky. thisiseos,here here is a constellation constellation in the sky and marys constellation able to the right here and the students are the students will their constellation life and here right here computer
285,Obat itu membuatku mengantuk.,thisissos The medicine made me sleepy. thisiseos,it going look like me to look at anymore
286,"Mama, aku lapar.","thisissos Mom, I'm hungry. thisiseos",my number of hungry im hungry i am i am hungry shes hungry
287,Di mana saya bisa membeli sikat?,thisissos Where can I buy a brush? thisiseos,where can i go buy you
288,Kamu bukan lagi seorang anak kecil.,thisissos You're no longer a mere child. thisiseos,you dont get a child anymore
289,Dia masuk.,thisissos She went inside. thisiseos,he went inside about inside
290,Saya tidak punya sepeda.,thisissos I don't have a bicycle. thisiseos,i dont have a bicycle with a bicycle
291,Tom tertarik pada pendakian gunung.,thisissos Tom is interested in mountaineering. thisiseos,tom was interested in the same end of our had interested in the end of our different talk their different day tom could kind of big place interested in the she felt the bus day tom
292,Hafalkan puisi ini!,thisissos Memorize this poem. thisiseos,this did this these who am these who am not these not are these not what this agree about this kind of this question this such is this their different this kind of this who did this these not these not these not these these who these not these did this did this did this did this these who these who these did toms this agree these who these who are both this did this did
293,Hidup ini indah atau tidak?,thisissos Is life beautiful or not? thisiseos,life is beautiful or not beautiful or not beautiful or not beautiful or not beautiful or beautiful or not beautiful or beautiful or living here
294,Dia dinyatakan tidak bersalah.,thisissos He was acquitted. thisiseos,he found his guilty
295,Ini besar.,thisissos This is big. thisiseos,this is big big big this is big big big big big big big be a big this is big big big this is big big big big of big this is big this is big big big big big big big big big big big big this is big big big big big big big big big big big these big these are big these is a big is big big big big big big big big big big big big big big big big big big big big big big big big big big this is big big this is big big big big big big big big big big big big big these is big big big big big big big these big these big big big big big big these big big big these big big big these big big be big big big these big big big these big be big big big big this is big big big big big big big big big big big big big big this is big big this is big big big this is big big these big big big big big big big these is big big big big big big big these big big big big big big big big big big these big these is big big
296,Aku muak dengan hal ini.,thisissos I'm sick of this. thisiseos,im sick of this
297,Aku percaya padamu.,thisissos I believe in you. thisiseos,i have to you believe in you believe you
298,Tom sebaiknya mengundurkan diri.,thisissos Tom should just resign. thisiseos,tom better not let himself better come by himself not try
299,Ia sangat sensitif pada kritikan.,thisissos He is very sensitive to criticism. thisiseos,she is very this summer in is very this summer with his this summer of is very is very this summer in is very this summer
300,Mari meninjau masalah ini dari sisi yang berbeda.,thisissos Let's approach the problem from a different angle. thisiseos,lets talk with this problem
301,Dia menangis dengan sedih pada saat wawancara dengan wartawan.,thisissos She cried bitterly at a press interview. thisiseos,she was to that her now she it will different she different from the rain party at what is the matter with this high bus at this it by this party am the matter
302,Berapa banyak bahasa yang bisa Anda pahami?,thisissos How many languages can you speak? thisiseos,how many language do you can understand
303,Keluargaku keluarga besar.,thisissos My family is a large one. thisiseos,my family is a big family is a big family a big a big family is big family a big a big family is a big a big family my family is a big is a big family family has a big family a big a big family has a big a big family has a big family is a big family is a big family is a big family family family family a big family a big family family a big family is a big a big family a big a big family is a big a big family a big family is a big a big family family has a big family is a big family a big a big family a big family has a big family is a big family family is a big family is a big family is a big a big family is a big family a big family has a big a big family a big a big family a big family a big family is a big family is a big family is a big a big family family is a big family is a big a big family a big family is a big family is a big a big family has a big a big family a big family is a
304,Itu adalah pesta perayaan hari ulang tahunnya.,thisissos It was a party to celebrate her birthday. thisiseos,her was a party her birthday party for her birthday
305,Tom dan Mary bermain hoki.,thisissos Tom and Mary played hockey. thisiseos,tom and mary play around playing around his same age as it and playing their thought as much as is playing their thought mary and such as is playing doesnt mean as isnt to be playing around as she and playing around
306,Saya lapar.,thisissos I am hungry. thisiseos,im hungry
307,Kamu tidak melihat apapun.,thisissos You didn't see anything. thisiseos,you dont see anything
308,Ia merawat lukanya.,thisissos She treated his wound. thisiseos,she took care of his problem his way to his problem took care of his it is through his it was run his problem took care took care of his problem took care to their it by his way he his it of his problem took care took care he took care took care through his it of his way of his way of his problem took care took care took care took of his problem after his problem after his problem took care took care took care he took care took care took care of his problem by his problem by his problem took care he took care took their his problem by his problem his it of his way of his way of his problem care took care took care took care took care took care he care of his problem took his problem his it was care took care took of his problem by his problem by his problem his problem his problem his problem took care he took care took care of his problem took care took care of his it was care took care she his problem by his problem after his problem care took care he took care of his it his problem care took of his problem after his problem his it was care took
309,Ini betul!,thisissos This is true! thisiseos,this is correct today
310,"Kalau mereka tidak keberatan, mereka dipersilahkan makan sisa makanan di kulkas.","thisissos If they don't mind, they are welcome to eat the leftovers in the fridge. thisiseos",if they dont mind they are welcome to eat as much as much food in the bill in the bill by fish in the matter as much about bill do about eating as the bill at the matter as about the wrong matter when about your favorite food could eat as them at food as the wrong with about eating favorite food as beautiful by the wrong with about the wrong food if they food if they eat eating about the wrong food as much food as food if they food if they eat eating by the bill in the matter as much food if they are welcome bill it bill
311,Kami semua sangat bersemangat.,thisissos We're all very excited. thisiseos,we all really do want to remember well
312,Apa kabar?,thisissos How is it going? thisiseos,how are you
313,Tom kellihatannya sangat kelelahan.,thisissos Tom seemed to be very tired. thisiseos,tom found very tired of things tom was very tired very tired of tired of only very only a get tired
314,Bagaimana kalau kamu membantunya?,thisissos Why don't you help him? thisiseos,why dont you help her out why her out she help her out you help her her help her out why do you help him you help her help her out why do you help her out you her out her your help her out her help her out why help her her help her out why why help her out why her help her help her out she his help her out why her help her help her help her help her out why she man you help her help her help her help her help her help her help her out here her help her help her out here her help her out why help her help her help her help her help her out why she man you help her out why help her help her out why she help her help her out why do you help her help her out why why do you help her help her help her out why help her help her help her help her out you his help her help her out why her help her out why her help her out why she help her help her out you help her out why help her help her out here you help her out why help her help her out why
315,Apa kau tidak bisa berbahasa Inggris?,thisissos Are you not able to speak English? thisiseos,can you speak no english
316,Mereka adalah aktor.,thisissos They are actors. thisiseos,they are the coffee
317,Saya harus memecat dia.,thisissos I have to fire him. thisiseos,i have to tell her id he must tell him really she and he must looking must tell him he must do he must just to find me he must be looking must find him ive she must try as he have to have to tell my face and he must know she must looking must be afraid he have to tell me she must looking must be looking must looking for wrong way he have to tell her she has she found me he have to tell her what he has she has he must looking must looking and he must looking and he must looking must looking must looking for her what he has she did he has she found him hes have to tell a she has she has she found me she found me he must looking for wrong way he must looking with her what he must be looking for young she has she have to tell me she has she has she has she found me she found me she has he must looking and he must looking for wrong way he must looking for young she found her looking for her my she has she has to tell me he must be able to tell me she has she have to tell me she have
318,Saya pesan dua bufet santap siang.,"thisissos Two for the lunch buffet, please. thisiseos",i please two expensive about lunch
319,Tom tidak membantu kami hari ini.,thisissos Tom didn't help us today. thisiseos,tom doesnt help us today
320,Kami kebingungan.,thisissos We're confused. thisiseos,we confused
321,Tom dulu bahagia.,thisissos Tom used to be happy. thisiseos,tom was happy home before tom was happy
322,Dia orang yang tahu banyak hal.,thisissos He is a person that knows many things. thisiseos,he is a nice to get much
323,Siapa yang menggambar itu?,thisissos Who drew it? thisiseos,who was that
324,Dia telah berjanji akan memberi tahu kita.,thisissos He promised he would tell us. thisiseos,he promised him
325,Aku masih ngantuk.,thisissos I'm still sleepy. thisiseos,im still a glasses
326,Berapa jumlah anak Anda?,thisissos How many children do you have? thisiseos,how many number
327,Apakah kamu punya kamus?,thisissos Do you have a dictionary? thisiseos,do you have a little dictionary that have a dictionary always change his son can have the dictionary you have a dictionary do you have a dictionary we have a dictionary still have any change has a dictionary it
328,Tom terbiasa bangun lebih awal.,thisissos Tom used to get up early. thisiseos,tom was used to get more early than up early
329,Bagaimana bisa kau begitu tidak peduli dengan masalah istrimu?,thisissos How can you be so indifferent to your wife's trouble? thisiseos,how can you really not care that problem with your wife is what your wife has he did not what has his name
330,Dikatakan bahwa dia seorang jutawan.,thisissos It is said that he is a millionaire. thisiseos,it is said he very serious beautiful teacher
331,Jadi apa yang kau sarankan?,thisissos So what do you suggest? thisiseos,so what do you really mean would it
332,Dia menunjukkan maksudnya yang sebenarnya.,thisissos He showed his real intentions. thisiseos,he bought the truth and love the truth he ran truth and truth really love you to make the truth he likes to be the truth must first truth he really love the truth really love you to see what the truth really have to make the truth and the truth really love you truth he ran there truth really love truth and love you truth truth and truth he found about the truth really have to show truth truth truth really love last truth really love truth he truth may truth truth truth and love truth he may truth really have to see the truth really truth truth truth truth really ran truth really have to make the truth really have to show you truth he over must make the truth really love you truth really love you truth really love you truth truth truth really truth really love you truth really love you truth he ran truth really have the truth really have the truth really might think truth really love show you truth he may truth truth really love you truth really have to first truth ive truth really love you truth truth really have the truth really love you truth really love truth really love the truth really love you truth truth really have to make the truth
333,Aku lahir pada tanggal 4 Juni 1974.,"thisissos I was born on June 4, 1974. thisiseos",i was born on the bus your end of only two your end of eating just right excuse for what the end of we could come try of his of his it right now i
334,"Tahun lalu aku bekerja di sana selama satu bulan, tetapi aku mengundurkan diri.","thisissos Last year I worked there for a month, but I resigned. thisiseos",years old i met on time for one time but i have since i was did only much time for a real month
335,Aku cuma bercanda.,thisissos I'm just kidding. thisiseos,im just joking
336,Saya perawat jaga malam.,thisissos I am the night shift nurse. thisiseos,i have a night job yet have tonight
337,"Kau tidak benar-benar mempercayainya, kan?","thisissos You don't really believe that, do you? thisiseos",you dont really trust isnt he arent you
338,Anak perempuanku suka kuning telur.,thisissos My daughter likes egg yolks. thisiseos,the boy likes even away about marys life it eggs
339,mengapa tidak dijual saja?,thisissos Why didn't you just sell it? thisiseos,why why why just he did not try to thats not try but party
340,Bagaimana dengan yang satunya?,thisissos What about the other one? thisiseos,anyone can that
341,Raja tinggal di istana.,thisissos The king lives in the castle. thisiseos,a king lives in the movie lives in a really knew of a really was in the bus lives in a really make likes on in a really room in a white ask for a really room for of a really a traffic jam for a really lives in the traffic in a really the traffic in a really in a really king lives in a really in a really lives in a really in a really king in a really room house king lives in a really king lives in a really room house king lives in a really room of a really room at a really room house king at a really room lives in the traffic jam lives in a really a really room lives in a really room at a really king lives in the traffic jam lives in a really room lives in the traffic jam lives in a really in a really in a really room lives in the traffic jam lives in the traffic in a really lives in a really room room at a really room lives in a really a really likes the traffic jam is in a really in a really a really lives in a really a really room is in a really room of a really lives in a really
342,Dia memiliki suara yang merdu.,thisissos He has a sweet voice. thisiseos,he has a beautiful matter what he else she says
343,Turun dari kasur!,thisissos Get out of bed! thisiseos,off from been trying from bed from ten
344,Aku tidak dapat mengingat apapun tentang hal itu.,thisissos I can't remember any of it. thisiseos,i didnt know anything about anything
345,Bersiap siap untuk evakuasi.,thisissos Prepare to evacuate. thisiseos,get ready to get ready for your accident
346,Kami melakukan yang kami bisa.,thisissos We did what we could. thisiseos,we did what we can can do
347,Mary sangat cantik.,thisissos Mary is very pretty. thisiseos,mary was very beautiful in beautiful than beautiful day
348,Saya harap kamu tidak akan merokok terlalu banyak.,thisissos I wish you wouldn't smoke so much. thisiseos,i hope you dont be smoking
349,Dili adalah ibu kota Timor Leste.,thisissos Dili is the capital of East Timor. thisiseos,the matter is the city the city his one who have made
350,Tepat seperti apa yang Anda katakan.,thisissos It's exactly as you say it is. thisiseos,its just like what youre saying
351,Perang dunia pertama dimulai pada tahun 1914 dan berakhir pada tahun 1918.,thisissos The First World War began in 1914 and ended in 1918. thisiseos,the world first time from the year their your old has over the years since over and thanks and take which is to give made on put over and that she is good who my close on put off at my close of the matter at my old and the year and my close getting sick and that the city what life and what the city is good use of busy year which is good times what the city your life and thank
352,"""Apakah kamu suka musiknya? """"Tidak, kamu?""""""","thisissos ""Did you like his music? - """"No, did you?"""""" thisiseos",do you like music dont like you dont like you like not like you like you like that you like not to understand music dont like
353,Apakah aku sendirian di sini?,thisissos Am I alone here? thisiseos,is i here alone
354,Tom sedang berusaha untuk tidak tertawa,thisissos Tom is trying not to laugh. thisiseos,tom was trying to never
355,Di kota saya tidak ada sekolah untuk belajar bahasa Esperanto.,"thisissos In my city, there is no school for learning Esperanto. thisiseos",in a city have in school of school language for sure
356,Saya tidak terbiasa dengan perawatan seperti itu.,thisissos I'm not used to treatment like that. thisiseos,im not used to what im had that
357,Apa kamu benar-benar mencintai Tom?,thisissos Do you really love Tom? thisiseos,do you really like tom really really really really really really love tom
358,Saya kecanduan alkohol.,thisissos I'm an alcoholic. thisiseos,i do my matter how much it anymore
359,Pernah melihat UFO?,thisissos Have you ever seen a UFO? thisiseos,ive seen a computer
360,Aku malu pada diriku sendiri.,thisissos I am ashamed of myself. thisiseos,i am such by yourself
361,Presiden itu menunjukkan tanda-tanda penyakit jiwa.,thisissos The president is showing signs of mental illness. thisiseos,the sky has about right now go look of his his which the between the the just try of the between she and go which give her try their that his that give the his give him as the between the between the between her which the so try try try and go which the think try of his have the his his give do his his different she try try their his give is sometimes give is their had dont the between the between the give her has dont the between she try try their had dont the his game had whats dont the give her had whats dont the rice try of his give her rice try person many his give is sometimes give
362,Aku ingin berterima kasih kepada Tom atas apa yang ia lakukan.,thisissos I'd like to thank Tom for all he's done. thisiseos,im going to give you for tom what i want to do
363,Tom menyiramkan air dingin ke dirinya sendiri.,thisissos Tom poured cold water over himself. thisiseos,tom a cold coffee is always get told water
364,Elekid bisa berevolusi menjadi Electabuzz.,thisissos Elekid can evolve into Electabuzz. thisiseos,the job can be an end of his mind who could be people who does not change her more your does and would be able to be her change her change her change the matter at what let her change his your life and fish change his mind and his change the your life
365,Aku cinta kamu!,thisissos I love you. thisiseos,i love you love you i love you i love
